,,,
Categoria,Itens avaliados,Feedback,Pontuação
sintaxe 30%,O conector “fluxo de sequência” está sendo utilizado apenas entre raias?,"o conector ""fluxo de sequência"" deve ser utilizado apenas entre raias","0,2"
,O conector “fluxo de mensagem” está sendo utilizado apenas entre piscinas?,"o conector ""fluxo de mensagem"" deve ser utilizado apenas entre piscinas","0,2"
,Os desvios (Gateway) estão sendo conectados pelo conector fluxo de sequência?,os desvios (Gateway) não estão sendo conectados pelo conector fluxo de sequência,"0,2"
,Evento de início foi inserido para cada piscina?,os eventos de início não foram estabelecidos para cada piscina no agrupamento.,"0,2"
,Evento final foi inserido para cada piscina?,os eventos finais não foram estabelecidos para cada piscina no agrupamento.,"0,2"
,Existe apenas um evento inicial na piscina?,piscina possui mais de um evento inicial,"0,2"
,Evento de término estabelecido quando o fluxo é interrompido por alguma inconsistência?,evento de término não estabelecido quando o fluxo não é interrompido por alguma inconsistência,"0,2"
,Os desvios (Gateway) possuem mais de um fluxo?,alguns desvios (Gateway) não possuem mais de um fluxo,"0,2"
,O tipo de cada tarefa está correto?,o tipo de algumas tarefas não está correto,"0,2"
,O tipo de cada gateway está correto?,o tipo de alguns gateways não está correto,"0,2"
,O tipo de cada evento está correto?,o tipo de alguns eventos não está correto,"0,2"
,Cada raia possui o seu respectivo responsável?,cada raia não possui o seu respectivo responsável,"0,2"
,As tarefas estão associadas a apenas uma raia?,a modelagem possui tarefa(s) posicionadas entre a divisão das raias,"0,2"
,Todos os eventos de link possuem nome?,Alguns eventos de link não tem nome,"0,1"
,Todas as atividades do processo foram representadas em raias diferentes?,todas as atividades do processo foram modeladas em uma única raia,"0,3"
Modelagem alinhada à proposta 20%,As tarefas esperadas para o processo foram modeladas?,algumas tarefas esperadas para o processo não foram modeladas,"0,3"
,Os atores esperados para o processo foram modelados?,alguns atores esperados para o processo não foram modelados,"0,2"
,Os eventos esperados foram modelados?,alguns eventos esperados para o processo não foram modelados,"0,3"
,Os objetos de fluxo esperados foram modelados?,alguns objetos como artefatos ou documentos não foram modelados,"0,4"
,Os gateways esperados para o processo foram modelados?,alguns gateways esperados para o processo não foram modelados,"0,8"
Semântica 20%,Todas as tarefas estão sendo conectadas com o restante do processo por meio dos objetos de conexão?,algumas tarefas não possuem fluxo de entrada,"0,75"
,Todas as tarefas possuem apenas um fluxo de saída?,existem tarefas que não possuem fluxo de saída ou possuem mais de um,"0,75"
,Todas as tarefas representam ações? (há ausência de tarefa que representa um resultado?),algumas tarefas estão representando um resultado ao invés de uma ação,"0,25"
,Todas as tarefas estão dispostas na raia do responsável correto?,algumas tarefas não estão dispostas na raia do responsável correto,"0,25"
Boas práticas 20%,Evento de início e fim possuem rótulo?,evento de início ou fim não possui rótulo,"0,2"
,Os desvios (Gateway) exclusivos possuem rótulo com a decisão a ser tomada?,alguns desvios (Gateway) exclusivos não possuem rótulo com a decisão a ser tomada,"0,2"
,Os gateways possuem uma convergência quando aplicável?,alguns gateways não possuem uma convergência quando aplicável,"0,2"
,As tarefas possuem um substantivo e estão no infinitivo?,existem tarefas que não possuem um substantivo ou não estão no infinitivo,"0,2"
,As descrições das tarefas estão escritas com uma descrição breve e objetiva?,existem descrições de tarefas que não estão escritas de forma breve e objetiva,"0,2"
,O nome da piscina corresponde ao nome do processo?,o nome da piscina não corresponde ao nome do processo,"0,2"
,Os nomes das tarefas não estão escritas em forma de siglas ou abreviaturas?,existem tarefas escritas em forma de siglas ou abreviaturas,"0,2"
,"São usados nomes breves e objetivos para os eventos, os gateways e as atividades?","nomes de eventos, gateways ou atividades precisam ser breves e objetivos","0,2"
,"A nomenclatura dos objetos, tarefas, subprocessos, piscinas e raias está padronizada? (exemplo, tamanho, dentro ou fora do elemento, acima, abaixo ou ao lado)","a nomenclatura dos objetos, tarefas, subprocessos, piscinas e raias não está padronizada (por exemplo, tamanho, dentro ou fora do elemento, acima, abaixo ou ao lado).","0,2"
,As tarefas redundantes foram excluídas?,algumas tarefas estão redundantes (tarefa de envio e recebimento na mesma piscina),"0,2"
Legibilidade 10%,Existe ausência de cruzamento de linhas ou de conexões entre elementos?,existe cruzamento de linhas ou conexões entre elementos,"0,2"
,Os atores estão inseridos nas raias de acordo com a sua ordem de aparecimento no processo?,os atores precisam ser inseridos nas raias de acordo com a sua ordem de aparecimento no processo,"0,2"
,O fluxo do processo está sendo representado da esquerda para a direita?,o fluxo do processo não está sendo representado da esquerda para a direita,"0,2"
,Todos os elementos estão conectados?,existem elementos sem o conector do fluxo de sequência,"0,2"
,As tarefas e desvios (Gateway) estão dispostos sob a lógica de funcionamento do processo?,as tarefas e desvios (Gateway) não estão dispostos sob a lógica de funcionamento do processo,"0,2"
,,,10
