Categoria,Código,Itens avaliados,Feedback,Pontuação,tipo_avaliacao,justificativa_classificacao
sintaxe 30%,SI1,O conector “fluxo de sequência” está sendo utilizado apenas entre raias?,"o conector ""fluxo de sequência"" deve ser utilizado apenas entre raias. Ele está sendo utilizado entre piscinas",0.2,estrutural,Verificar se fluxos de sequência conectam elementos na mesma raia/pool — análise de containment + conectividade
,SI2,O conector “fluxo de mensagem” está sendo utilizado apenas entre piscinas?,"o conector ""fluxo de mensagem"" deve ser utilizado apenas entre piscinas. Ele está sendo utilizado entre elementos de uma própria raia",0.2,estrutural,Verificar se fluxos de mensagem conectam pools distintos — conectividade cruzando fronteiras de pool
,SI3,Os desvios (Gateway) estão sendo conectados pelo conector fluxo de sequência (linha constante)?,os desvios (Gateway) não estão sendo conectados pelo conector fluxo de sequência (linha constante). Conectores de mensagem (linha tracejada) são apenas para fluxos de comunicação.,0.2,estrutural,Gateway possui conexões de fluxo de sequência — contagem de in/out degree do gateway
,SI4,Evento de início foi inserido para cada piscina?,os eventos de início não foram estabelecidos para cada piscina no agrupamento. Cada piscina deve ter pelo menos um evento inicial.,0.3,estrutural,"Cada pool possui ao menos um evento de início (in_degree=0, out_degree>0) — contagem por pool"
,SI5,Evento final foi inserido para cada piscina?,os eventos finais não foram estabelecidos para cada piscina no agrupamento ao término do fluxo.,0.2,estrutural,"Cada pool possui ao menos um evento de fim (out_degree=0, in_degree>0) — contagem por pool"
,SI6,Existe apenas um evento inicial na piscina?,piscina possui mais de um evento inicial. Cada piscina pode conter vários eventos mas deve ter apenas 1 evento inicial.,0.2,estrutural,Contar eventos de início por pool — deve haver exatamente 1
,SI7,Evento de término estabelecido quando o fluxo é interrompido por alguma inconsistência ou em algum fluxo alternativo?,evento de término não estabelecido quando o fluxo é interrompido por alguma inconsistência ou quando necessário interrompê-lo em algum fluxo alternativo antes do fim do fluxo padrão.,0.2,semi_estrutural,Evento de término em fluxos alternativos — requer identificar caminhos alternativos + julgamento
,SI8,Os desvios (Gateway) possuem mais de um fluxo?,alguns desvios (Gateway) não possuem mais de um fluxo. Gateway devem abrir dois ou mais fluxos a depender de seu tipo.,0.2,estrutural,Gateway possui out_degree >= 2 — contagem direta
,SI9,O tipo de cada tarefa está correto?,o tipo de algumas tarefas não está correto,0.2,interpretativo,Tipo de tarefa correto — requer julgamento semântico sobre adequação do tipo
,SI10,O tipo de cada gateway está correto?,o tipo de alguns gateways não está correto,0.2,semi_estrutural,"Tipo de gateway correto — estrutura (n de saídas) informa, mas adequação do tipo é julgamento"
,SI11,O tipo de cada evento está correto?,o tipo de alguns eventos não está correto,0.2,interpretativo,Tipo de evento correto — requer mapeamento de classe + julgamento
,SI12,Cada raia possui o seu respectivo responsável?,cada raia não possui o seu respectivo responsável. As raias devem ser nomeadas com o nome do agente responsável por realizar o fluxo.,0.2,estrutural,Cada raia possui responsável nomeado — leitura dos campos Primary_N do pool
,SI13,As tarefas estão associadas a apenas uma raia?,a modelagem possui tarefa(s) posicionadas entre a divisão das raias. Cada elemento do diagrama deve estar dentro de uma raia para que tenha um ator o representando sua função no fluxo.,0.2,estrutural,Tarefas associadas a apenas uma raia — análise de containment de cada elemento
,SI15,Todas as atividades do processo foram representadas em raias diferentes?,todas as atividades do processo foram modeladas em uma única raia. As atividades devem ser distribuídas conforme seus respectivos atores responsáveis por sua execução no fluxo,0.3,estrutural,Atividades distribuídas em raias diferentes — containment de tarefas por raia
Modelagem alinhada à proposta 20%,P1,As tarefas esperadas para o processo foram modeladas?,algumas tarefas esperadas para o processo não foram modeladas,0.3,interpretativo,Tarefas esperadas modeladas — requer comparar com enunciado da tarefa
,P2,Os atores esperados para o processo foram modelados?,alguns atores esperados para o processo não foram modelados,0.3,interpretativo,Atores esperados modelados — requer comparar com enunciado
,P3,Os eventos esperados foram modelados?,alguns eventos esperados para o processo não foram modelados,0.4,interpretativo,Eventos esperados modelados — requer comparar com enunciado
,P4,Os objetos de fluxo esperados foram modelados?,alguns objetos como artefatos ou documentos não foram modelados,0.4,interpretativo,Objetos de fluxo esperados modelados — requer comparar com enunciado
